symbol,season,exposure_level,primary_driver,confidence,rationale,evidence_status,source_url,last_reviewed,notes
4250,HAJJ,high,real_estate_makkah_madinah,high,تطوير ضيافة وعقارات بمكة قرب المشاعر؛ ربط موضوعي مع موسم الحج. لا تعاقدي.,thematic_only,,2026-06-28,
4100,HAJJ,medium,real_estate_makkah_madinah,medium,إنشاء وتعمير بمكة؛ ربط موضوعي مع كثافة موسم الحج. لا تعاقدي.,thematic_only,,2026-06-28,
4090,HAJJ,medium,real_estate_makkah_madinah,low,استثمار وضيافة بالمدينة؛ ربط موضوعي مع حركة الزوار. لا تعاقدي.,thematic_only,,2026-06-28,
4010,HAJJ,high,hospitality,high,تشغيل فنادق وضيافة؛ ربط موضوعي مع الطلب على الإقامة في الحج. لا تعاقدي.,thematic_only,,2026-06-28,
1810,HAJJ,medium,hospitality,medium,سفر وضيافة؛ ربط موضوعي مع تنقل وإقامة المعتمرين والحجاج. لا تعاقدي.,thematic_only,,2026-06-28,
4170,HAJJ,medium,hospitality,low,مشاريع سياحية؛ ربط موضوعي مع النشاط الموسمي. لا تعاقدي.,thematic_only,,2026-06-28,
4264,HAJJ,high,airlines,medium,ناقل جوي اقتصادي؛ ربط موضوعي مع رحلات الحج والعمرة. لا تعاقدي.,thematic_only,,2026-06-28,
4031,HAJJ,high,ground_services,medium,خدمات أرضية للمطارات؛ ربط موضوعي مع ذروة الحركة الجوية في الحج. لا تعاقدي.,thematic_only,,2026-06-28,
4040,HAJJ,medium,transport,medium,نقل جماعي عام؛ ربط موضوعي مع تنقل الحجاج. لا تعاقدي.,thematic_only,,2026-06-28,
6004,HAJJ,medium,hospitality,low,تموين وضيافة؛ ربط موضوعي مع خدمات الإعاشة في المشاعر. لا تعاقدي.,thematic_only,,2026-06-28,
4161,HAJJ,medium,food_retail,low,تجزئة أغذية؛ ربط موضوعي مع طلب الحجاج على السلع الغذائية. لا تعاقدي.,thematic_only,,2026-06-28,
7010,HAJJ,medium,telecom,medium,مشغّل اتصالات؛ ربط موضوعي مع اتصال الحجاج وكثافة الشبكة. لا تعاقدي.,thematic_only,,2026-06-28,
4261,HAJJ,low,transport,low,تأجير سيارات؛ ربط محتمل مع تنقل الزوار يحتاج تأكيدًا.,needs_verification,,2026-06-28,علاقة غير مؤكدة
4161,RAMADAN,high,food_retail,high,مشغّل تجزئة أغذية رئيسي؛ ربط موضوعي مع ذروة الإنفاق الغذائي في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
2280,RAMADAN,high,food_retail,high,منتجات ألبان وأغذية واسعة؛ ربط موضوعي مع استهلاك رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
2050,RAMADAN,high,consumer_goods,medium,سلع غذائية استهلاكية؛ ربط موضوعي مع طلب رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
6010,RAMADAN,medium,food_retail,medium,منتجات زراعية وغذائية؛ ربط موضوعي مع استهلاك رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
6002,RAMADAN,medium,restaurants,medium,مطاعم وجبات؛ ربط موضوعي مع الإفطار خارج المنزل في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
6015,RAMADAN,medium,restaurants,low,مطاعم متعددة العلامات؛ ربط موضوعي مع نشاط رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
6012,RAMADAN,medium,restaurants,low,مطاعم؛ ربط موضوعي مع الطلب الاستهلاكي في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
4072,RAMADAN,high,advertising_media,high,إعلام وبث؛ ربط موضوعي مع ذروة المشاهدة والإعلان في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
4210,RAMADAN,medium,advertising_media,medium,إعلام ونشر؛ ربط موضوعي مع الإعلان الموسمي في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
4070,RAMADAN,medium,advertising_media,low,إعلان وعلاقات عامة؛ ربط موضوعي مع حملات رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
7010,RAMADAN,medium,telecom,medium,مشغّل اتصالات؛ ربط موضوعي مع زيادة استهلاك البيانات في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
2270,RAMADAN,low,food_retail,low,منتجات ألبان؛ ربط محتمل مع استهلاك رمضان يحتاج تأكيدًا.,needs_verification,,2026-06-28,علاقة غير مؤكدة
