symbol,name_ar,expo2030_exposure,worldcup2034_exposure,primary_event_driver,secondary_event_driver,exposure_strength,confidence,rationale
4300,دار الأركان,high,medium,urban_infrastructure,venue_construction,high,high,مطور عقاري كبير؛ تعرّض محتمل عبر التطوير العمراني المرتبط بالبنية التحتية للفعاليات. ربط موضوعي وليس عقدًا.
4150,شركة الرياض للتعمير,high,medium,urban_infrastructure,venue_construction,high,medium,مطور بمنطقة الرياض؛ تعرّض محتمل عبر التطوير العمراني قرب مواقع إكسبو. ربط موضوعي.
4020,الشركة العقارية السعودية,high,medium,urban_infrastructure,venue_construction,high,medium,مطور عقاري؛ تعرّض محتمل عبر مشاريع التطوير الحضري. ربط موضوعي لا تعاقدي.
4321,المراكز العربية,medium,medium,urban_infrastructure,hospitality_tourism,medium,medium,مطور وجهات تجزئة/ترفيه؛ تعرّض محتمل عبر زيادة النشاط التجاري المصاحب للفعاليات. ربط موضوعي.
4322,رتال,medium,medium,venue_construction,urban_infrastructure,medium,medium,مطور عقاري بالرياض؛ تعرّض محتمل عبر التطوير العمراني. ربط موضوعي.
4323,شركة سمو العقارية,medium,low,urban_infrastructure,venue_construction,medium,low,مطور عقاري؛ تعرّض محتمل عبر التطوير الحضري. ربط موضوعي.
4220,إعمار المدينة الإقتصادية,medium,medium,urban_infrastructure,hospitality_tourism,medium,medium,مطور مدن ووجهات؛ تعرّض محتمل عبر التطوير والضيافة. ربط موضوعي.
4230,شركة البحر الأحمر العالمية,medium,medium,hospitality_tourism,urban_infrastructure,medium,medium,تطوير وجهات سياحية؛ تعرّض محتمل عبر الطلب على الضيافة المصاحب للفعاليات. ربط موضوعي.
4250,شركة جبل عمر للتطوير,medium,medium,hospitality_tourism,urban_infrastructure,medium,medium,تطوير ضيافة بمكة؛ تعرّض محتمل عبر زيادة حركة الزوار. ربط موضوعي.
4090,شركة طيبة للإستثمار,medium,medium,hospitality_tourism,urban_infrastructure,medium,low,استثمار وضيافة بالمدينة؛ تعرّض محتمل عبر النشاط السياحي. ربط موضوعي.
4100,شركة مكة للإنشاء والتعمير,medium,low,urban_infrastructure,hospitality_tourism,medium,low,إنشاء وتعمير بمكة؛ تعرّض محتمل عبر التطوير الحضري. ربط موضوعي.
4320,الأندلس,medium,low,urban_infrastructure,hospitality_tourism,medium,low,عقارات تجزئة وترفيه؛ تعرّض محتمل عبر النشاط المصاحب للفعاليات. ربط موضوعي.
4142,شركة مجموعة كابلات الرياض,medium,medium,venue_construction,urban_infrastructure,medium,medium,مصنّع كابلات؛ تعرّض محتمل عبر مواد البنية التحتية للإنشاءات. ربط موضوعي لا تعاقدي.
2110,شركة الكابلات السعودية,medium,medium,venue_construction,urban_infrastructure,medium,medium,مصنّع كابلات؛ تعرّض محتمل عبر مواد الإنشاء والبنية التحتية. ربط موضوعي.
