symbol,name_ar,season,exposure_level,primary_driver,confidence,rationale,evidence_status,source_url,last_reviewed,notes
1810,مجموعة سيرا القابضة,HAJJ,medium,hospitality,medium,سفر وضيافة؛ ربط موضوعي مع تنقل وإقامة المعتمرين والحجاج. لا تعاقدي.,thematic_only,,2026-06-28,
4010,شركة دور للضيافة,HAJJ,high,hospitality,high,تشغيل فنادق وضيافة؛ ربط موضوعي مع الطلب على الإقامة في الحج. لا تعاقدي.,thematic_only,,2026-06-28,
4031,الخدمات الأرضية,HAJJ,high,ground_services,medium,خدمات أرضية للمطارات؛ ربط موضوعي مع ذروة الحركة الجوية في الحج. لا تعاقدي.,thematic_only,,2026-06-28,
4040,الشركة السعودية للنقل الجماعي,HAJJ,medium,transport,medium,نقل جماعي عام؛ ربط موضوعي مع تنقل الحجاج. لا تعاقدي.,thematic_only,,2026-06-28,
4090,شركة طيبة للإستثمار,HAJJ,medium,real_estate_makkah_madinah,low,استثمار وضيافة بالمدينة؛ ربط موضوعي مع حركة الزوار. لا تعاقدي.,thematic_only,,2026-06-28,
4100,شركة مكة للإنشاء والتعمير,HAJJ,medium,real_estate_makkah_madinah,medium,إنشاء وتعمير بمكة؛ ربط موضوعي مع كثافة موسم الحج. لا تعاقدي.,thematic_only,,2026-06-28,
4161,شركة بن داود القابضة,HAJJ,medium,food_retail,low,تجزئة أغذية؛ ربط موضوعي مع طلب الحجاج على السلع الغذائية. لا تعاقدي.,thematic_only,,2026-06-28,
4170,شركة المشروعات السياحية,HAJJ,medium,hospitality,low,مشاريع سياحية؛ ربط موضوعي مع النشاط الموسمي. لا تعاقدي.,thematic_only,,2026-06-28,
4250,شركة جبل عمر للتطوير,HAJJ,high,real_estate_makkah_madinah,high,تطوير ضيافة وعقارات بمكة قرب المشاعر؛ ربط موضوعي مع موسم الحج. لا تعاقدي.,thematic_only,,2026-06-28,
4261,شركة ذيب لتأجير السيارات,HAJJ,low,transport,low,تأجير سيارات؛ ربط محتمل مع تنقل الزوار يحتاج تأكيدًا.,needs_verification,,2026-06-28,علاقة غير مؤكدة
4264,شركة طيران ناس,HAJJ,high,airlines,medium,ناقل جوي اقتصادي؛ ربط موضوعي مع رحلات الحج والعمرة. لا تعاقدي.,thematic_only,,2026-06-28,
6004,شركة كاتريون للتموين القابضة,HAJJ,medium,hospitality,low,تموين وضيافة؛ ربط موضوعي مع خدمات الإعاشة في المشاعر. لا تعاقدي.,thematic_only,,2026-06-28,
7010,stc,HAJJ,medium,telecom,medium,مشغّل اتصالات؛ ربط موضوعي مع اتصال الحجاج وكثافة الشبكة. لا تعاقدي.,thematic_only,,2026-06-28,
2050,مجموعة صافولا,RAMADAN,high,consumer_goods,medium,سلع غذائية استهلاكية؛ ربط موضوعي مع طلب رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
2270,الشركة السعودية لمنتجات الألبان والأغذية,RAMADAN,low,food_retail,low,منتجات ألبان؛ ربط محتمل مع استهلاك رمضان يحتاج تأكيدًا.,needs_verification,,2026-06-28,علاقة غير مؤكدة
2280,شركة المراعي,RAMADAN,high,food_retail,high,منتجات ألبان وأغذية واسعة؛ ربط موضوعي مع استهلاك رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
4070,شركة تهامة للإعلان والعلاقات العامة والتسويق,RAMADAN,medium,advertising_media,low,إعلان وعلاقات عامة؛ ربط موضوعي مع حملات رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
4072,شركة مجموعة إم بي سي,RAMADAN,high,advertising_media,high,إعلام وبث؛ ربط موضوعي مع ذروة المشاهدة والإعلان في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
4161,شركة بن داود القابضة,RAMADAN,high,food_retail,high,مشغّل تجزئة أغذية رئيسي؛ ربط موضوعي مع ذروة الإنفاق الغذائي في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
4210,المجموعة السعودية للأبحاث والإعلام,RAMADAN,medium,advertising_media,medium,إعلام ونشر؛ ربط موضوعي مع الإعلان الموسمي في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
6002,هرفي للأغذية,RAMADAN,medium,restaurants,medium,مطاعم وجبات؛ ربط موضوعي مع الإفطار خارج المنزل في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
6010,نادك,RAMADAN,medium,food_retail,medium,منتجات زراعية وغذائية؛ ربط موضوعي مع استهلاك رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
6012,شركة ريدان الغذائية,RAMADAN,medium,restaurants,low,مطاعم؛ ربط موضوعي مع الطلب الاستهلاكي في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
6015,شركة أمريكانا للمطاعم العالمية بي إل سي - شركة أجنبية,RAMADAN,medium,restaurants,low,مطاعم متعددة العلامات؛ ربط موضوعي مع نشاط رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
7010,stc,RAMADAN,medium,telecom,medium,مشغّل اتصالات؛ ربط موضوعي مع زيادة استهلاك البيانات في رمضان. لا تعاقدي.,thematic_only,,2026-06-28,
